Brand,All_vegan,Partial_vegan,Bad_parent_company,Black_owned,Ulta,Sephora,Beauty_Bay,Cult_Beauty,Nordstrom
MAYA Cosmetics ,True,False,False,False,,,,,
MERIT ,True,False,False,False,,1.0,,,
MOGI MOUSSE ,True,False,False,False,,,,,
MOMMA (Ministry of Mineral Makeup Australia) ,True,False,False,False,,,,,
MONDAY Haircare,False,False,False,False,,,,,
MOTD Cosmetics ,True,False,False,False,,,,,
MOX (Moxe Aromatherapy),False,False,False,False,,,,,
MUN ,True,False,False,False,,,,,
MV Organic Skincare,False,False,False,False,,,,,
Mabrook & Co,False,False,False,False,,,,,
Mad Hippie ,True,False,False,False,1.0,,,,
Madam Glam,False,False,False,False,,,,,
Made From Earth,False,False,False,False,,,,,
Made Simple Skincare ,True,False,False,False,,,,,
Mai Couture,False,False,False,False,,,,,
Maison Meunier ,True,False,False,False,,,,,
